time_sec,slot_start,packets_tx,packets_rx,packet_loss,loss_flag,slot_id
1.00001,316,316,0,0.0,0,2000
1.00023,316,316,0,0.0,0,2000
1.00065,316,316,0,0.0,0,2001
1.00115,220,220,0,0.0,0,2002
1.00215,0,0,0,0.0,0,2004
1.00265,0,0,0,0.0,0,2005
1.00315,220,220,0,0.0,0,2006
1.00365,316,316,0,0.0,0,2007
1.00465,316,316,0,0.0,0,2009
1.00515,316,316,0,0.0,0,2010
1.00565,220,220,0,0.0,0,2011
1.00615,316,316,0,0.0,0,2012
1.00715,316,316,0,0.0,0,2014
1.00765,316,316,0,0.0,0,2015
1.00815,220,220,0,0.0,0,2016
1.00865,316,316,0,0.0,0,2017
1.00965,316,316,0,0.0,0,2019
1.01065,316,316,0,0.0,0,2021
1.01115,220,220,0,0.0,0,2022
1.01215,16,16,0,0.0,0,2024
1.01265,16,16,0,0.0,0,2025
1.01315,20,20,0,0.0,0,2026
1.01365,220,220,0,0.0,0,2027
1.01465,316,316,0,0.0,0,2029
1.01515,316,316,0,0.0,0,2030
1.01565,316,316,0,0.0,0,2031
1.01615,220,220,0,0.0,0,2032
1.01715,316,316,0,0.0,0,2034
1.01765,264,264,0,0.0,0,2035
1.01815,0,0,0,0.0,0,2036
1.01865,0,0,0,0.0,0,2037
1.01973,0,0,0,0.0,0,2039
1.02023,0,0,0,0.0,0,2040
1.02065,0,0,0,0.0,0,2041
1.02115,0,0,0,0.0,0,2042
1.02215,0,0,0,0.0,0,2044
1.02265,0,0,0,0.0,0,2045
1.02315,0,0,0,0.0,0,2046
1.02365,0,0,0,0.0,0,2047
1.02465,0,0,0,0.0,0,2049
1.02515,0,0,0,0.0,0,2050
1.02565,0,0,0,0.0,0,2051
1.02615,0,0,0,0.0,0,2052
1.02715,0,0,0,0.0,0,2054
1.02765,0,0,0,0.0,0,2055
1.02815,0,0,0,0.0,0,2056
1.02865,0,0,0,0.0,0,2057
1.02965,0,0,0,0.0,0,2059
1.03065,0,0,0,0.0,0,2061
1.03115,0,0,0,0.0,0,2062
1.03215,16,16,0,0.0,0,2064
1.03265,16,16,0,0.0,0,2065
1.03315,20,20,0,0.0,0,2066
1.03365,0,0,0,0.0,0,2067
1.03465,0,0,0,0.0,0,2069
1.03515,0,0,0,0.0,0,2070
1.03565,0,0,0,0.0,0,2071
1.03615,0,0,0,0.0,0,2072
1.03715,0,0,0,0.0,0,2074
1.03765,0,0,0,0.0,0,2075
1.03815,160,160,0,0.0,0,2076
1.03865,112,112,0,0.0,0,2077
1.03973,160,160,0,0.0,0,2079
1.04023,160,160,0,0.0,0,2080
1.04065,160,160,0,0.0,0,2081
1.04115,112,112,0,0.0,0,2082
1.04215,0,0,0,0.0,0,2084
1.04265,0,0,0,0.0,0,2085
1.04315,112,112,0,0.0,0,2086
1.04365,160,160,0,0.0,0,2087
1.04465,160,160,0,0.0,0,2089
1.04515,160,160,0,0.0,0,2090
1.04565,0,0,0,0.0,0,2091
1.04615,160,160,0,0.0,0,2092
1.04715,160,160,0,0.0,0,2094
1.04765,160,160,0,0.0,0,2095
1.04815,112,112,0,0.0,0,2096
1.04865,160,160,0,0.0,0,2097
1.04965,160,160,0,0.0,0,2099
1.05065,160,160,0,0.0,0,2101
1.05115,112,112,0,0.0,0,2102
1.05215,16,16,0,0.0,0,2104
1.05265,16,16,0,0.0,0,2105
1.05315,20,20,0,0.0,0,2106
1.05365,112,112,0,0.0,0,2107
1.05465,160,160,0,0.0,0,2109
1.05515,160,160,0,0.0,0,2110
1.05565,160,160,0,0.0,0,2111
1.05615,112,112,0,0.0,0,2112
1.05715,160,160,0,0.0,0,2114
1.05765,160,160,0,0.0,0,2115
1.05815,160,160,0,0.0,0,2116
1.05865,112,112,0,0.0,0,2117
1.05973,160,160,0,0.0,0,2119
1.06023,160,160,0,0.0,0,2120
1.06065,160,160,0,0.0,0,2121
1.06115,112,112,0,0.0,0,2122
1.06215,0,0,0,0.0,0,2124
1.06265,0,0,0,0.0,0,2125
1.06315,112,112,0,0.0,0,2126
1.06365,160,160,0,0.0,0,2127
1.06465,160,160,0,0.0,0,2129
1.06515,160,160,0,0.0,0,2130
1.06565,112,112,0,0.0,0,2131
1.06615,160,160,0,0.0,0,2132
1.06715,160,160,0,0.0,0,2134
1.06765,160,160,0,0.0,0,2135
1.06815,112,112,0,0.0,0,2136
1.06865,316,316,0,0.0,0,2137
1.06965,316,316,0,0.0,0,2139
1.07065,316,316,0,0.0,0,2141
1.07115,220,220,0,0.0,0,2142
1.07215,16,16,0,0.0,0,2144
1.07265,16,16,0,0.0,0,2145
1.07315,20,20,0,0.0,0,2146
1.07365,220,220,0,0.0,0,2147
1.07465,316,316,0,0.0,0,2149
1.07515,316,316,0,0.0,0,2150
1.07565,316,316,0,0.0,0,2151
1.07615,220,220,0,0.0,0,2152
1.07715,316,316,0,0.0,0,2154
1.07765,316,316,0,0.0,0,2155
1.07815,316,316,0,0.0,0,2156
1.07865,220,220,0,0.0,0,2157
1.07973,316,316,0,0.0,0,2159
1.08023,316,316,0,0.0,0,2160
1.08065,316,316,0,0.0,0,2161
1.08115,220,220,0,0.0,0,2162
1.08215,0,0,0,0.0,0,2164
1.08265,0,0,0,0.0,0,2165
1.08315,220,220,0,0.0,0,2166
1.08365,316,316,0,0.0,0,2167
1.08465,316,316,0,0.0,0,2169
1.08515,316,316,0,0.0,0,2170
1.08565,220,220,0,0.0,0,2171
1.08615,316,316,0,0.0,0,2172
1.08715,316,316,0,0.0,0,2174
1.08765,316,316,0,0.0,0,2175
1.08815,220,220,0,0.0,0,2176
1.08865,316,316,0,0.0,0,2177
1.08965,316,316,0,0.0,0,2179
1.09065,316,316,0,0.0,0,2181
1.09115,220,220,0,0.0,0,2182
1.09215,16,16,0,0.0,0,2184
1.09265,16,16,0,0.0,0,2185
1.09315,20,20,0,0.0,0,2186
1.09365,220,220,0,0.0,0,2187
1.09465,316,316,0,0.0,0,2189
1.09515,316,316,0,0.0,0,2190
1.09565,316,316,0,0.0,0,2191
1.09615,220,220,0,0.0,0,2192
1.09715,316,316,0,0.0,0,2194
1.09765,316,316,0,0.0,0,2195
1.09815,316,316,0,0.0,0,2196
1.09865,220,220,0,0.0,0,2197
1.09973,316,316,0,0.0,0,2199
1.10023,316,316,0,0.0,0,2200
1.10065,316,316,0,0.0,0,2201
1.10115,220,220,0,0.0,0,2202
1.10215,0,0,0,0.0,0,2204
1.10265,0,0,0,0.0,0,2205
1.10315,220,220,0,0.0,0,2206
1.10365,316,316,0,0.0,0,2207
1.10465,316,316,0,0.0,0,2209
1.10515,316,316,0,0.0,0,2210
1.10565,220,220,0,0.0,0,2211
1.10615,316,316,0,0.0,0,2212
1.10715,316,316,0,0.0,0,2214
1.10765,316,316,0,0.0,0,2215
1.10815,220,220,0,0.0,0,2216
1.10865,316,316,0,0.0,0,2217
1.10965,316,316,0,0.0,0,2219
1.11065,316,316,0,0.0,0,2221
1.11115,220,220,0,0.0,0,2222
1.11215,16,16,0,0.0,0,2224
1.11265,16,16,0,0.0,0,2225
1.11315,20,20,0,0.0,0,2226
1.11365,220,220,0,0.0,0,2227
1.11465,316,316,0,0.0,0,2229
1.11515,316,316,0,0.0,0,2230
1.11565,316,316,0,0.0,0,2231
1.11615,220,220,0,0.0,0,2232
1.11715,316,316,0,0.0,0,2234
1.11765,316,316,0,0.0,0,2235
1.11815,316,316,0,0.0,0,2236
1.11865,220,220,0,0.0,0,2237
1.11973,316,316,0,0.0,0,2239
1.12023,316,316,0,0.0,0,2240
1.12065,316,316,0,0.0,0,2241
1.12115,220,220,0,0.0,0,2242
1.12215,0,0,0,0.0,0,2244
1.12265,0,0,0,0.0,0,2245
1.12315,220,220,0,0.0,0,2246
1.12365,316,316,0,0.0,0,2247
1.12465,160,160,0,0.0,0,2249
1.12515,160,160,0,0.0,0,2250
1.12565,112,112,0,0.0,0,2251
1.12615,160,160,0,0.0,0,2252
1.12715,160,160,0,0.0,0,2254
1.12765,160,160,0,0.0,0,2255
1.12815,112,112,0,0.0,0,2256
1.12865,160,160,0,0.0,0,2257
1.12965,160,160,0,0.0,0,2259
1.13065,160,160,0,0.0,0,2261
1.13115,112,112,0,0.0,0,2262
1.13215,16,16,0,0.0,0,2264
1.13265,16,16,0,0.0,0,2265
1.13315,20,20,0,0.0,0,2266
1.13365,112,112,0,0.0,0,2267
1.13465,160,160,0,0.0,0,2269
1.13515,160,160,0,0.0,0,2270
1.13565,160,160,0,0.0,0,2271
1.13615,112,112,0,0.0,0,2272
1.13715,160,160,0,0.0,0,2274
1.13765,160,160,0,0.0,0,2275
1.13815,160,160,0,0.0,0,2276
1.13865,112,112,0,0.0,0,2277
1.13973,160,160,0,0.0,0,2279
1.14023,160,160,0,0.0,0,2280
1.14065,160,160,0,0.0,0,2281
1.14115,112,112,0,0.0,0,2282
1.14215,0,0,0,0.0,0,2284
1.14265,0,0,0,0.0,0,2285
1.14315,112,112,0,0.0,0,2286
1.14365,160,160,0,0.0,0,2287
1.14465,160,160,0,0.0,0,2289
1.14515,160,160,0,0.0,0,2290
1.14565,112,112,0,0.0,0,2291
1.14615,160,160,0,0.0,0,2292
1.14715,160,160,0,0.0,0,2294
1.14765,160,160,0,0.0,0,2295
1.14815,112,112,0,0.0,0,2296
1.14865,160,160,0,0.0,0,2297
1.14965,160,160,0,0.0,0,2299
1.15065,160,160,0,0.0,0,2301
1.15115,112,112,0,0.0,0,2302
1.15215,16,16,0,0.0,0,2304
1.15265,16,16,0,0.0,0,2305
1.15315,20,20,0,0.0,0,2306
1.15365,112,112,0,0.0,0,2307
1.15465,160,160,0,0.0,0,2309
1.15515,160,160,0,0.0,0,2310
1.15565,160,160,0,0.0,0,2311
1.15615,112,112,0,0.0,0,2312
1.15715,160,160,0,0.0,0,2314
1.15765,108,108,0,0.0,0,2315
1.15815,0,0,0,0.0,0,2316
1.15865,0,0,0,0.0,0,2317
1.15973,0,0,0,0.0,0,2319
1.16023,0,0,0,0.0,0,2320
1.16065,0,0,0,0.0,0,2321
1.16115,0,0,0,0.0,0,2322
1.16215,0,0,0,0.0,0,2324
1.16265,0,0,0,0.0,0,2325
1.16315,0,0,0,0.0,0,2326
1.16365,0,0,0,0.0,0,2327
1.16465,0,0,0,0.0,0,2329
1.16515,0,0,0,0.0,0,2330
1.16565,0,0,0,0.0,0,2331
1.16615,0,0,0,0.0,0,2332
1.16715,0,0,0,0.0,0,2334
1.16765,0,0,0,0.0,0,2335
1.16815,0,0,0,0.0,0,2336
1.16865,0,0,0,0.0,0,2337
1.16965,0,0,0,0.0,0,2339
1.17065,0,0,0,0.0,0,2341
1.17115,0,0,0,0.0,0,2342
1.17215,16,16,0,0.0,0,2344
1.17265,16,16,0,0.0,0,2345
1.17315,20,20,0,0.0,0,2346
1.17365,0,0,0,0.0,0,2347
1.17465,0,0,0,0.0,0,2349
1.17515,0,0,0,0.0,0,2350
1.17565,0,0,0,0.0,0,2351
1.17615,0,0,0,0.0,0,2352
1.17715,0,0,0,0.0,0,2354
1.17765,0,0,0,0.0,0,2355
1.17815,0,0,0,0.0,0,2356
1.17865,0,0,0,0.0,0,2357
1.17973,0,0,0,0.0,0,2359
1.18023,0,0,0,0.0,0,2360
1.18065,0,0,0,0.0,0,2361
1.18115,0,0,0,0.0,0,2362
1.18215,0,0,0,0.0,0,2364
1.18265,0,0,0,0.0,0,2365
1.18315,0,0,0,0.0,0,2366
1.18365,0,0,0,0.0,0,2367
1.18465,0,0,0,0.0,0,2369
1.18515,0,0,0,0.0,0,2370
1.18565,0,0,0,0.0,0,2371
1.18615,0,0,0,0.0,0,2372
1.18715,0,0,0,0.0,0,2374
